Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
,,,,,,,,,,,Location,US state,Country,,,,,,,,,,,,,,
1,34325230,Comput Biol Med,2021,Multi-agent simulation model for the evaluation of COVID-19 transmission,10.1016/j.compbiomed.2021.104645,"Castro BM, De Abreu De Melo Y, Fernanda Dos Santos N, Luiz Da Costa Barcellos A, Choren R, Salles RM. Multi-agent simulation model for the evaluation of COVID-19 transmission. Computers in Biology and Medicine. 2021;136:104645. doi:10.1016/j.compbiomed.2021.104645","Castro BM, de Abreu de Melo Y, Fernanda Dos Santos N, Luiz da Costa Barcellos A, Choren R, Salles RM.",agent-based model; epidemics; transmissibility; Simulation; model,Analyze the viral transmissibility in social scenarios,Understanding Epidemic Spread,--,,Theoretical,Theoretical,SARS-CoV-2,MATLAB,500,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,36543819,Sci Rep,2022,Multi-agent simulation model updating and forecasting for the evaluation of COVID-19 transmission,10.1038/s41598-022-22945-z,"Castro BM, Reis MDM, Salles RM. Multi-agent simulation model updating and forecasting for the evaluation of COVID-19 transmission. Sci Rep. 2022;12(1):22091. doi:10.1038/s41598-022-22945-z","Castro BM, Reis MM, Salles RM.",agent-based model; epidemiological modeling;,"Methodology to update, verify and validate ABMs using particle swarm optimization algorithm",Theoretical Advancements,"Passa Vinte, Minas Gerais (Brazil)",,Brazil,General,SARS-CoV-2,MATLAB,2024,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,35932728,Comput Biol Med,2022,An agent-based transmission model of COVID-19 for re-opening policy design,10.1016/j.compbiomed.2022.105847,"Rodríguez A, Cuevas E, Zaldivar D, Morales-Castañeda B, Sarkar R, Houssein EH. An agent-based transmission model of COVID-19 for re-opening policy design. Computers in Biology and Medicine. 2022;148:105847. doi:10.1016/j.compbiomed.2022.105847","Rodríguez A, Cuevas E, Zaldivar D, Morales-Castañeda B, Sarkar R, Houssein EH.",pandemic; disease; model; transmission;,"Modeling transmission of COVID-19 in closed environments, to test hypothetical reopening policies.","Intervention Impact Assessment, Understanding Epidemic Spread",--,,Theoretical,"University/School, Workplace",SARS-CoV-2,MATLAB,200,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,35245337,PLoS One,2022,Inference in epidemiological agent-based models using ensemble-based data assimilation,10.1371/journal.pone.0264892,"Cocucci TJ, Pulido M, Aparicio JP, Ruíz J, Simoy MI, Rosa S. Inference in epidemiological agent-based models using ensemble-based data assimilation. Gontis V, ed. PLoS ONE. 2022;17(3):e0264892. doi:10.1371/journal.pone.0264892","Cocucci TJ, Pulido M, Aparicio JP, Ruíz J, Simoy MI, Rosa S.",disease; epidemiological agent-based model;,Data Assimilation Method for Calibration of ABM,Theoretical Advancements,Ciudad AutÃ³noma de Buenos Aires (Argentina),,Argentina,General,SARS-CoV-2,Other/Unknown,3.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,33292095,J R Soc Interface,2020,Disease control across urban-rural gradients,10.1098/rsif.2020.0775,"Wells K, Lurgi M, Collins B, et al. Disease control across urban–rural gradients. J R Soc Interface. 2020;17(173):20200775. doi:10.1098/rsif.2020.0775","Wells K, Lurgi M, Collins B, Lucini B, Kao RR, Lloyd AL, Frost SDW, Gravenor MB.",individual-based; model; infection,Efficacy of different control strategies across an urban–rural gradient,"Intervention Impact Assessment, Understanding Epidemic Spread",Wales (UK),,UK,General,SARS-CoV-2,Other/Unknown,701995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6,35789685,Eur Phys J Spec Top,2022,Cellular automata in the light of COVID-19,10.1140/epjs/s11734-022-00619-1,"Chowdhury S, Roychowdhury S, Chaudhuri I. Cellular automata in the light of COVID-19. Eur Phys J Spec Top. 2022;231(18-20):3619-3628. doi:10.1140/epjs/s11734-022-00619-1","Chowdhury S, Roychowdhury S, Chaudhuri I.",disease; cellular automata; model,Study spatial growths of the disease,Understanding Epidemic Spread,India,,India,General,SARS-CoV-2,Other/Unknown,10201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,35585149,Sci Rep,2022,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,10.1038/s41598-022-12253-x,"Belval EJ, Bayham J, Thompson MP, Dilliott J, Buchwald AG. Modeling the systemic risks of COVID-19 on the wildland firefighting workforce. Sci Rep. 2022;12(1):8320. doi:10.1038/s41598-022-12253-x","Belval EJ, Bayham J, Thompson MP, Dilliott J, Buchwald AG.",agent-based model; model;,Transmission of COVID-19 in Wildlife firefighters,"Understanding Epidemic Spread, Intervention Impact Assessment",US,,US,Workplace,SARS-CoV-2,R,Unknown,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
8,36654071,Math Biosci Eng,2022,Individual-based modeling of COVID-19 transmission in college communities,10.3934/mbe.2022646,"Cator D, Huang Q, Mondal A, Ndeffo-Mbah M, Gurarie D. Individual-based modeling of COVID-19 transmission in college communities. MBE. 2022;19(12):13861-13877. doi:10.3934/mbe.2022646","Cator D, Huang Q, Mondal A, Ndeffo-Mbah M, Gurarie D.","pandemic, modeling, disease transmission",Model spread in a residential college campus,"Understanding Epidemic Spread, Intervention Impact Assessment",US,,US,University/School,SARS-CoV-2,"R, Other/Unknown",3000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
9,34932931,J R Soc Interface,2021,Agent-based simulations for protecting nursing homes with prevention and vaccination strategies,10.1098/rsif.2021.0608,"Lasser J, Zuber J, Sorger J, et al. Agent-based simulations for protecting nursing homes with prevention and vaccination strategies. J R Soc Interface. 2021;18(185):20210608. doi:10.1098/rsif.2021.0608","Lasser J, Zuber J, Sorger J, Dervic E, Ledebur K, Lindner SD, Klager E, Kletečka-Pulker M, Willschke H, Stangl K, Stadtmann S, Haslinger C, Klimek P, Wochele-Thoma T.","pandemic, agent-based, simulation",To identify optimal prevention strategies to control spread in a nursing home,Intervention Impact Assessment,Austria,,Austria,Hospital or Healthcare Facility,SARS-CoV-2,Python,2650,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
10,32665655,Nat Med,2020,A stochastic agent-based model of the SARS-CoV-2 epidemic in France,10.1038/s41591-020-1001-6,"Hoertel N, Blachier M, Blanco C, et al. A stochastic agent-based model of the SARS-CoV-2 epidemic in France. Nat Med. 2020;26(9):1417-1421. doi:10.1038/s41591-020-1001-6","Hoertel N, Blachier M, Blanco C, Olfson M, Massetti M, Rico MS, Limosin F, Leleu H.","agent-based model, epidemic ","Examine impact of post-lockdown measures on disease incidence, mortality and ICU bed occupancy",Intervention Impact Assessment,France,,France,General,SARS-CoV-2,C Family,5.00E+05,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
11,36463351,Sci Rep,2022,Agent-based model using GPS analysis for infection spread and inhibition mechanism of SARS-CoV-2 in Tokyo,10.1038/s41598-022-25480-z,"Murakami T, Sakuragi S, Deguchi H, Nakata M. Agent-based model using GPS analysis for infection spread and inhibition mechanism of SARS-CoV-2 in Tokyo. Sci Rep. 2022;12(1):20896. doi:10.1038/s41598-022-25480-z","Murakami T, Sakuragi S, Deguchi H, Nakata M.","agent-based model, infection, simulation",Spatiotemporal analysis of infection in Tokyo using GPS information,Understanding Epidemic Spread,Tokyo (Japan),,Japan,General,SARS-CoV-2,"Python, Julia",1.00E+05,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,33360131,Sci Total Environ,2021,How do social media and individual behaviors affect epidemic transmission and control?,10.1016/j.scitotenv.2020.144114,"Du E, Chen E, Liu J, Zheng C. How do social media and individual behaviors affect epidemic transmission and control? Science of The Total Environment. 2021;761:144114. doi:10.1016/j.scitotenv.2020.144114","Du E, Chen E, Liu J, Zheng C.","epidemic, transmission, infection, disease",To understand impact of social media on disease spread and control,Behavioral Influence on Spread,--,,Theoretical,Theoretical,SARS-CoV-2,Other/Unknown,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
13,37061013,J Biomed Inform,2023,MAM: Flexible Monte-Carlo Agent based model for modelling COVID-19 spread,10.1016/j.jbi.2023.104364,"De-Leon H, Aran D. MAM: Flexible Monte-Carlo Agent based model for modelling COVID-19 spread. Journal of Biomedical Informatics. 2023;141:104364. doi:10.1016/j.jbi.2023.104364","De-Leon H, Aran D.","model, transmission, agent-based",To compare the performance of MAM and SIR models used to model COVID-19 outbreaks,Theoretical Advancements,Israel,,Israel,General,SARS-CoV-2,Other/Unknown,9200000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
